Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
27,0,327,320,322,0.40875,0.4,0.4025,0.00875,0.0,0.0025,"(99.0508041119877, 'Left Curve')",0.01009582919558524,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
28,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(89.41264916535043, 'Left Curve')",0.01118409989341334,0.0,0.8962500000000001,1.7962500000000001,0,21,6.2
29,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,"(125.84515568169856, 'Left Curve')",0.007946273295805762,0.0,0.8962500000000001,1.7962500000000001,0,21,6.9
30,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,"(119.16799044471884, 'Left Curve')",0.008391515173396272,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
31,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,"(93.26867108040236, 'Left Curve')",0.010721713823261715,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
32,0,328,320,322,0.41000000000000003,0.4,0.4025,0.01,0.0,0.0025,"(107.45263127254677, 'Left Curve')",0.009306426358825627,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
33,0,326,319,321,0.40750000000000003,0.39875,0.40125,0.0075,-0.00125,0.00125,"(109.80932722850612, 'Left Curve')",0.009106694533507747,0.0,0.8962500000000001,1.7962500000000001,0,21,7.0
34,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,"(126.74665610189231, 'Left Curve')",0.007889754497318609,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
35,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,"(114.48117203650551, 'Left Curve')",0.008735060815774336,0.0,0.8962500000000001,1.7962500000000001,0,21,6.8
36,0,327,320,320,0.40875,0.4,0.4,0.00875,0.0,0.0,"(88.26716615844657, 'Left Curve')",0.01132924102496868,0.0,0.8962500000000001,1.7962500000000001,0,21,6.3
37,0,328,320,320,0.41000000000000003,0.4,0.4,0.01,0.0,0.0,"(104.24191818139745, 'Left Curve')",0.009593069826860262,0.0,0.8962500000000001,1.7962500000000001,0,21,6.4
38,0,326,319,320,0.40750000000000003,0.39875,0.4,0.0075,-0.00125,0.0,"(86.49884984259054, 'Left Curve')",0.011560847361783269,0.0,0.8962500000000001,1.7962500000000001,0,21,7.5
39,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,"(109.10770994228382, 'Left Curve')",0.009165255145846096,0.0,0.8962500000000001,1.7962500000000001,0,21,6.4
40,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,"(99.3805836300067, 'Left Curve')",0.010062327705007186,0.0,0.8962500000000001,1.7962500000000001,0,21,6.3
41,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,"(94.69284703017986, 'Left Curve')",0.010560459753430866,0.0,0.8962500000000001,1.7962500000000001,0,21,7.1
42,0,326,319,320,0.40750000000000003,0.39875,0.4,0.0075,-0.00125,0.0,"(91.15613059250722, 'Left Curve')",0.010970189207243481,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
43,0,325,318,319,0.40625,0.3975,0.39875,0.00625,-0.0025,-0.00125,"(85.14406925096637, 'Left Curve')",0.01174479924200534,0.0,0.8962500000000001,1.7962500000000001,0,21,6.2
44,0,326,319,320,0.40750000000000003,0.39875,0.4,0.0075,-0.00125,0.0,"(100.9419505405451, 'Left Curve')",0.009906683937104352,0.0,0.8962500000000001,1.7962500000000001,0,21,6.6
