Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Error_Lateral,Error_Yaw (rad),Error_Yaw(deg),Angle_MPC(rad),Angle_MPC(deg),Konversi_MPC2Angle,Angle,FPS,km/h
21,0,374,335,314,1.2856250000000002,1.1515625,1.0793750000000002,0.185625,0.051562500000000004,-0.020625000000000004,"(37.98435824087445, 'Left Curve')",0.02632662617750676,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,0
22,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(40.01223977165785, 'Left Curve')",0.024992352482810447,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0
23,0,370,334,314,1.271875,1.148125,1.0793750000000002,0.17187500000000003,0.04812500000000001,-0.020625000000000004,"(40.74215250223706, 'Left Curve')",0.024544604017794402,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.5,0
24,0,370,335,314,1.271875,1.1515625,1.0793750000000002,0.17187500000000003,0.051562500000000004,-0.020625000000000004,"(40.32946081188247, 'Left Curve')",0.024795769144162847,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.9,0
25,0,367,336,313,1.2615625000000001,1.1550000000000002,1.0759375000000002,0.16156250000000003,0.05500000000000001,-0.024062500000000004,"(42.642722893825, 'Left Curve')",0.02345066009245877,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.7,0
26,0,370,335,314,1.271875,1.1515625,1.0793750000000002,0.17187500000000003,0.051562500000000004,-0.020625000000000004,"(40.728414598318984, 'Left Curve')",0.024552883039087748,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.9,0
27,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(39.48278748912138, 'Left Curve')",0.025327492398441426,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.8,0
28,0,368,335,314,1.2650000000000001,1.1515625,1.0793750000000002,0.16500000000000004,0.051562500000000004,-0.020625000000000004,"(40.89515075070365, 'Left Curve')",0.024452776958715425,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.9,0
29,0,368,335,314,1.2650000000000001,1.1515625,1.0793750000000002,0.16500000000000004,0.051562500000000004,-0.020625000000000004,"(41.27272431835877, 'Left Curve')",0.024229076624224292,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.1,0
30,0,368,335,314,1.2650000000000001,1.1515625,1.0793750000000002,0.16500000000000004,0.051562500000000004,-0.020625000000000004,"(40.996164931656494, 'Left Curve')",0.024392525536646434,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.1,0
31,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.98192764248061, 'Left Curve')",0.023819773320463766,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.9,0
32,0,367,335,314,1.2615625000000001,1.1515625,1.0793750000000002,0.16156250000000003,0.051562500000000004,-0.020625000000000004,"(41.18611352932979, 'Left Curve')",0.02428002825000402,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.8,0
33,0,373,335,314,1.2821875000000003,1.1515625,1.0793750000000002,0.18218750000000003,0.051562500000000004,-0.020625000000000004,"(39.78382619259388, 'Left Curve')",0.025135842770853425,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.1,0
34,0,366,334,314,1.2581250000000002,1.148125,1.0793750000000002,0.15812500000000002,0.04812500000000001,-0.020625000000000004,"(43.901158171535926, 'Left Curve')",0.02277844233841574,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.5,0
35,0,369,335,313,1.2684375,1.1515625,1.0759375000000002,0.16843750000000002,0.051562500000000004,-0.024062500000000004,"(41.734105227398956, 'Left Curve')",0.023961218158416096,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.8,0
36,0,368,334,314,1.2650000000000001,1.148125,1.0793750000000002,0.16500000000000004,0.04812500000000001,-0.020625000000000004,"(43.6318950782628, 'Left Curve')",0.022919013675805136,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.6,0
37,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(40.20620295785658, 'Left Curve')",0.024871784113714542,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,0
38,0,371,335,314,1.2753125,1.1515625,1.0793750000000002,0.1753125,0.051562500000000004,-0.020625000000000004,"(41.23201068984823, 'Left Curve')",0.024253001085057704,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,0
39,0,371,334,314,1.2753125,1.148125,1.0793750000000002,0.1753125,0.04812500000000001,-0.020625000000000004,"(40.99821149608124, 'Left Curve')",0.02439130790121378,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.2,0
40,0,368,335,314,1.2650000000000001,1.1515625,1.0793750000000002,0.16500000000000004,0.051562500000000004,-0.020625000000000004,"(42.5395121096106, 'Left Curve')",0.02350755686673892,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.7,0
41,0,369,335,314,1.2684375,1.1515625,1.0793750000000002,0.16843750000000002,0.051562500000000004,-0.020625000000000004,"(41.29624360353078, 'Left Curve')",0.024215277534698123,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.6,0
42,0,368,334,314,1.2650000000000001,1.148125,1.0793750000000002,0.16500000000000004,0.04812500000000001,-0.020625000000000004,"(42.38156279909259, 'Left Curve')",0.023595165773863593,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.7,0
43,0,369,335,313,1.2684375,1.1515625,1.0759375000000002,0.16843750000000002,0.051562500000000004,-0.024062500000000004,"(41.03061513263924, 'Left Curve')",0.024372045039230107,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.1,0
44,0,371,334,314,1.2753125,1.148125,1.0793750000000002,0.1753125,0.04812500000000001,-0.020625000000000004,"(40.01294137715368, 'Left Curve')",0.024991914255295743,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.6,0
45,0,366,335,313,1.2581250000000002,1.1515625,1.0759375000000002,0.15812500000000002,0.051562500000000004,-0.024062500000000004,"(43.967355109453734, 'Left Curve')",0.022744147277237125,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.3,0
46,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(40.29802699948917, 'Left Curve')",0.0248151106755841,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.8,0
47,0,371,335,314,1.2753125,1.1515625,1.0793750000000002,0.1753125,0.051562500000000004,-0.020625000000000004,"(41.110740507496786, 'Left Curve')",0.024324543602362116,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.9,0
48,0,368,335,313,1.2650000000000001,1.1515625,1.0759375000000002,0.16500000000000004,0.051562500000000004,-0.024062500000000004,"(41.31808045898441, 'Left Curve')",0.024202479614044002,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.9,0
49,0,369,335,314,1.2684375,1.1515625,1.0793750000000002,0.16843750000000002,0.051562500000000004,-0.020625000000000004,"(41.64475954427947, 'Left Curve')",0.024012625140426944,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.1,0
50,0,373,335,314,1.2821875000000003,1.1515625,1.0793750000000002,0.18218750000000003,0.051562500000000004,-0.020625000000000004,"(38.552699997961085, 'Left Curve')",0.025938520520038453,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0
51,0,371,335,314,1.2753125,1.1515625,1.0793750000000002,0.1753125,0.051562500000000004,-0.020625000000000004,"(42.378200153934245, 'Left Curve')",0.023597038014064018,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.8,0
52,0,364,334,313,1.2512500000000002,1.148125,1.0759375000000002,0.15125000000000002,0.04812500000000001,-0.024062500000000004,"(45.057976582293534, 'Left Curve')",0.022193628650270344,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.5,0
53,0,367,335,314,1.2615625000000001,1.1515625,1.0793750000000002,0.16156250000000003,0.051562500000000004,-0.020625000000000004,"(42.83842815802849, 'Left Curve')",0.023343526898584085,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.4,0
54,0,375,335,314,1.2890625000000002,1.1515625,1.0793750000000002,0.18906250000000002,0.051562500000000004,-0.020625000000000004,"(37.8837217856439, 'Left Curve')",0.0263965617121323,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.1,0
55,0,368,335,313,1.2650000000000001,1.1515625,1.0759375000000002,0.16500000000000004,0.051562500000000004,-0.024062500000000004,"(42.17704210201155, 'Left Curve')",0.023709581093461912,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.8,0
56,0,366,335,313,1.2581250000000002,1.1515625,1.0759375000000002,0.15812500000000002,0.051562500000000004,-0.024062500000000004,"(42.95674781172367, 'Left Curve')",0.023279229712242833,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.7,0
57,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.733925381087715, 'Left Curve')",0.023961321415817822,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.3,0
58,0,368,335,313,1.2650000000000001,1.1515625,1.0759375000000002,0.16500000000000004,0.051562500000000004,-0.024062500000000004,"(43.21883959744705, 'Left Curve')",0.023138057599748012,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.5,0
59,0,371,335,314,1.2753125,1.1515625,1.0793750000000002,0.1753125,0.051562500000000004,-0.020625000000000004,"(41.24734429745212, 'Left Curve')",0.0242439850863749,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.9,0
60,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.28516566309486, 'Left Curve')",0.024221775156734033,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.8,0
61,0,367,335,314,1.2615625000000001,1.1515625,1.0793750000000002,0.16156250000000003,0.051562500000000004,-0.020625000000000004,"(42.24428484399613, 'Left Curve')",0.023671841142367516,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.6,0
62,0,368,334,314,1.2650000000000001,1.148125,1.0793750000000002,0.16500000000000004,0.04812500000000001,-0.020625000000000004,"(41.66347080917441, 'Left Curve')",0.024001840955117863,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.9,0
63,0,370,334,314,1.271875,1.148125,1.0793750000000002,0.17187500000000003,0.04812500000000001,-0.020625000000000004,"(41.40339890772675, 'Left Curve')",0.024152606461818254,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.9,0
64,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(39.934803413283525, 'Left Curve')",0.025040814390671816,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.6,0
65,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(39.97939382963398, 'Left Curve')",0.025012885494496134,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.2,0
66,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.52977099319945, 'Left Curve')",0.0240791118295295,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.6,0
67,0,374,335,314,1.2856250000000002,1.1515625,1.0793750000000002,0.185625,0.051562500000000004,-0.020625000000000004,"(39.324684129918424, 'Left Curve')",0.025429320594064095,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.9,0
68,0,367,334,314,1.2615625000000001,1.148125,1.0793750000000002,0.16156250000000003,0.04812500000000001,-0.020625000000000004,"(42.107996798835444, 'Left Curve')",0.023748458155759534,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.4,0
69,0,370,335,314,1.271875,1.1515625,1.0793750000000002,0.17187500000000003,0.051562500000000004,-0.020625000000000004,"(39.770046714945764, 'Left Curve')",0.025144551807232237,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.3,0
70,0,370,335,314,1.271875,1.1515625,1.0793750000000002,0.17187500000000003,0.051562500000000004,-0.020625000000000004,"(40.48278343154823, 'Left Curve')",0.02470185879611974,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.3,0
71,0,371,335,314,1.2753125,1.1515625,1.0793750000000002,0.1753125,0.051562500000000004,-0.020625000000000004,"(40.44482801880769, 'Left Curve')",0.024725040233450346,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.4,0
72,0,373,335,314,1.2821875000000003,1.1515625,1.0793750000000002,0.18218750000000003,0.051562500000000004,-0.020625000000000004,"(39.47819172249177, 'Left Curve')",0.025330440842615227,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.2,0
73,0,370,335,314,1.271875,1.1515625,1.0793750000000002,0.17187500000000003,0.051562500000000004,-0.020625000000000004,"(40.37455190642089, 'Left Curve')",0.024768076740957386,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.2,0
74,0,366,334,314,1.2581250000000002,1.148125,1.0793750000000002,0.15812500000000002,0.04812500000000001,-0.020625000000000004,"(44.207633257552075, 'Left Curve')",0.022620527866172704,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.5,0
75,0,366,335,313,1.2581250000000002,1.1515625,1.0759375000000002,0.15812500000000002,0.051562500000000004,-0.024062500000000004,"(43.442220047610135, 'Left Curve')",0.02301908141213912,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0
76,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.7051401143184, 'Left Curve')",0.023977859737645997,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.9,0
77,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.98612255286889, 'Left Curve')",0.023817393443293096,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.2,0
78,0,369,335,314,1.2684375,1.1515625,1.0793750000000002,0.16843750000000002,0.051562500000000004,-0.020625000000000004,"(40.9106374853948, 'Left Curve')",0.02444352035230452,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.2,0
79,0,375,335,315,1.2890625000000002,1.1515625,1.0828125000000002,0.18906250000000002,0.051562500000000004,-0.0171875,"(38.62207803499524, 'Left Curve')",0.025891926350879044,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.4,0
80,0,371,334,314,1.2753125,1.148125,1.0793750000000002,0.1753125,0.04812500000000001,-0.020625000000000004,"(39.64004314723445, 'Left Curve')",0.025227015931484086,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.1,0
81,0,368,335,314,1.2650000000000001,1.1515625,1.0793750000000002,0.16500000000000004,0.051562500000000004,-0.020625000000000004,"(42.013935395992206, 'Left Curve')",0.023801626545448346,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.1,0
82,0,367,334,314,1.2615625000000001,1.148125,1.0793750000000002,0.16156250000000003,0.04812500000000001,-0.020625000000000004,"(42.69005450089882, 'Left Curve')",0.023424659717380905,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.8,0
83,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.495207107628545, 'Left Curve')",0.024099168788487824,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.4,0
84,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.41857156913683, 'Left Curve')",0.02414375875640175,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0
85,0,366,335,313,1.2581250000000002,1.1515625,1.0759375000000002,0.15812500000000002,0.051562500000000004,-0.024062500000000004,"(43.379086686825545, 'Left Curve')",0.023052583085012374,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.2,0
86,0,365,335,313,1.2546875000000002,1.1515625,1.0759375000000002,0.15468750000000003,0.051562500000000004,-0.024062500000000004,"(44.16596945965145, 'Left Curve')",0.02264186685437906,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.5,0
87,0,370,334,314,1.271875,1.148125,1.0793750000000002,0.17187500000000003,0.04812500000000001,-0.020625000000000004,"(40.16324740277818, 'Left Curve')",0.024898385082547575,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.1,0
88,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.991622083892466, 'Left Curve')",0.023814274142641163,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.5,0
89,0,368,334,314,1.2650000000000001,1.148125,1.0793750000000002,0.16500000000000004,0.04812500000000001,-0.020625000000000004,"(42.04474689683228, 'Left Curve')",0.02378418408496453,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.5,0
90,0,370,335,314,1.271875,1.1515625,1.0793750000000002,0.17187500000000003,0.051562500000000004,-0.020625000000000004,"(39.81016390577917, 'Left Curve')",0.025119213333729375,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.6,0
91,0,368,334,314,1.2650000000000001,1.148125,1.0793750000000002,0.16500000000000004,0.04812500000000001,-0.020625000000000004,"(42.12293222211836, 'Left Curve')",0.023740037724033592,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.9,0
92,0,370,334,314,1.271875,1.148125,1.0793750000000002,0.17187500000000003,0.04812500000000001,-0.020625000000000004,"(41.8017304944824, 'Left Curve')",0.023922454601059986,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.6,0
93,0,368,335,314,1.2650000000000001,1.1515625,1.0793750000000002,0.16500000000000004,0.051562500000000004,-0.020625000000000004,"(40.85546122350253, 'Left Curve')",0.02447653190180459,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.9,0
94,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.200853772480386, 'Left Curve')",0.02427134169408737,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.4,0
95,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(40.979852663785856, 'Left Curve')",0.024402235122814534,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.5,0
96,0,369,334,314,1.2684375,1.148125,1.0793750000000002,0.16843750000000002,0.04812500000000001,-0.020625000000000004,"(41.18733176666731, 'Left Curve')",0.02427931009624893,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.1,0
97,0,370,335,314,1.271875,1.1515625,1.0793750000000002,0.17187500000000003,0.051562500000000004,-0.020625000000000004,"(39.75336611256984, 'Left Curve')",0.025155102518068382,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.4,0
98,0,370,334,314,1.271875,1.148125,1.0793750000000002,0.17187500000000003,0.04812500000000001,-0.020625000000000004,"(39.825571882375804, 'Left Curve')",0.025109495048896827,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.9,0
